data_set_name,algorithm_name,fold_name,model_file,algorithm_config_index,algorithm_configuration,fold,train_users,test_users,users_to_predict,prediction_time
MovieLens-100K,NCL,2,./data_sets/MovieLens-100K/checkpoint_NCL/config_0/fold_2/NCL-Apr-25-2025_21-00-48.pth,0,"{'embedding_size': 64, 'num_clusters': 100}",2,711,711,711,0.44146132469177246
MovieLens-100K,NCL,3,./data_sets/MovieLens-100K/checkpoint_NCL/config_0/fold_3/NCL-Apr-25-2025_21-03-13.pth,0,"{'embedding_size': 64, 'num_clusters': 100}",3,711,711,711,0.4001743793487549
MovieLens-100K,NCL,4,./data_sets/MovieLens-100K/checkpoint_NCL/config_0/fold_4/NCL-Apr-25-2025_21-05-42.pth,0,"{'embedding_size': 64, 'num_clusters': 100}",4,711,711,711,0.4672698974609375
MovieLens-100K,NeuMF,0,./data_sets/MovieLens-100K/checkpoint_NeuMF/config_0/fold_0/NeuMF-Apr-25-2025_15-48-15.pth,0,"{'mf_embedding_size': 64, 'mlp_embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,1.2091119289398193
MovieLens-100K,NeuMF,1,./data_sets/MovieLens-100K/checkpoint_NeuMF/config_0/fold_1/NeuMF-Apr-25-2025_15-51-48.pth,0,"{'mf_embedding_size': 64, 'mlp_embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,1.1952812671661377
MovieLens-100K,NeuMF,2,./data_sets/MovieLens-100K/checkpoint_NeuMF/config_0/fold_2/NeuMF-Apr-25-2025_15-52-13.pth,0,"{'mf_embedding_size': 64, 'mlp_embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,1.213630199432373
MovieLens-100K,NeuMF,3,./data_sets/MovieLens-100K/checkpoint_NeuMF/config_0/fold_3/NeuMF-Apr-25-2025_15-52-40.pth,0,"{'mf_embedding_size': 64, 'mlp_embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,1.1495692729949951
MovieLens-100K,NeuMF,4,./data_sets/MovieLens-100K/checkpoint_NeuMF/config_0/fold_4/NeuMF-Apr-25-2025_15-53-09.pth,0,"{'mf_embedding_size': 64, 'mlp_embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,1.266871452331543
MovieLens-100K,NGCF,0,./data_sets/MovieLens-100K/checkpoint_NGCF/config_0/fold_0/NGCF-Apr-25-2025_15-53-44.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,0.5058565139770508
MovieLens-100K,NGCF,1,./data_sets/MovieLens-100K/checkpoint_NGCF/config_0/fold_1/NGCF-Apr-25-2025_15-55-27.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,0.48030805587768555
MovieLens-100K,NGCF,2,./data_sets/MovieLens-100K/checkpoint_NGCF/config_0/fold_2/NGCF-Apr-25-2025_15-57-05.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,0.4841763973236084
MovieLens-100K,NGCF,3,./data_sets/MovieLens-100K/checkpoint_NGCF/config_0/fold_3/NGCF-Apr-25-2025_15-58-45.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,0.48573994636535645
MovieLens-100K,NGCF,4,./data_sets/MovieLens-100K/checkpoint_NGCF/config_0/fold_4/NGCF-Apr-25-2025_16-00-29.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,0.5711517333984375
MovieLens-100K,NNCF,0,./data_sets/MovieLens-100K/checkpoint_NNCF/config_0/fold_0/NNCF-Apr-25-2025_21-09-43.pth,0,"{'ui_embedding_size': 64, 'neigh_embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,16.208516836166382
MovieLens-100K,NNCF,1,./data_sets/MovieLens-100K/checkpoint_NNCF/config_0/fold_1/NNCF-Apr-25-2025_21-14-02.pth,0,"{'ui_embedding_size': 64, 'neigh_embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,16.460021257400513
