data_set_name,algorithm_name,fold_name,model_file,algorithm_config_index,algorithm_configuration,fold,setup_time,training_time
disneylandreviews,EulerNet,1,./data_sets/disneylandreviews/checkpoint_EulerNet/config_0/fold_1/EulerNet-May-18-2025_20-37-23.pth,0,{},1,1.985046625137329,0.6607666015625
disneylandreviews,EulerNet,2,./data_sets/disneylandreviews/checkpoint_EulerNet/config_0/fold_2/EulerNet-May-18-2025_20-37-29.pth,0,{},2,1.6909284591674805,0.7235023975372314
disneylandreviews,EulerNet,3,./data_sets/disneylandreviews/checkpoint_EulerNet/config_0/fold_3/EulerNet-May-18-2025_20-37-35.pth,0,{},3,1.7235019207000732,0.6869733333587646
disneylandreviews,EulerNet,4,./data_sets/disneylandreviews/checkpoint_EulerNet/config_0/fold_4/EulerNet-May-18-2025_20-37-42.pth,0,{},4,1.6108677387237549,0.7470855712890625
disneylandreviews,FFM,0,./data_sets/disneylandreviews/checkpoint_FFM/config_0/fold_0/FFM-May-18-2025_20-35-47.pth,0,{},0,1.5964038372039795,0.34407591819763184
disneylandreviews,FFM,1,./data_sets/disneylandreviews/checkpoint_FFM/config_0/fold_1/FFM-May-18-2025_20-35-53.pth,0,{},1,1.6477940082550049,0.3343789577484131
disneylandreviews,FFM,2,./data_sets/disneylandreviews/checkpoint_FFM/config_0/fold_2/FFM-May-18-2025_20-35-58.pth,0,{},2,1.5952670574188232,0.33997225761413574
disneylandreviews,FFM,3,./data_sets/disneylandreviews/checkpoint_FFM/config_0/fold_3/FFM-May-18-2025_20-36-04.pth,0,{},3,1.5366697311401367,0.4260520935058594
disneylandreviews,FFM,4,./data_sets/disneylandreviews/checkpoint_FFM/config_0/fold_4/FFM-May-18-2025_20-36-09.pth,0,{},4,1.6651198863983154,0.39180684089660645
disneylandreviews,FiGNN,0,./data_sets/disneylandreviews/checkpoint_FiGNN/config_0/fold_0/FiGNN-May-18-2025_20-36-15.pth,0,{},0,1.6487128734588623,0.7408626079559326
disneylandreviews,FiGNN,1,./data_sets/disneylandreviews/checkpoint_FiGNN/config_0/fold_1/FiGNN-May-18-2025_20-36-21.pth,0,{},1,1.620532512664795,0.7174444198608398
disneylandreviews,FiGNN,2,./data_sets/disneylandreviews/checkpoint_FiGNN/config_0/fold_2/FiGNN-May-18-2025_20-36-28.pth,0,{},2,1.619171142578125,0.7074358463287354
disneylandreviews,FiGNN,3,./data_sets/disneylandreviews/checkpoint_FiGNN/config_0/fold_3/FiGNN-May-18-2025_20-36-33.pth,0,{},3,1.5555939674377441,0.8115630149841309
disneylandreviews,FiGNN,4,./data_sets/disneylandreviews/checkpoint_FiGNN/config_0/fold_4/FiGNN-May-18-2025_20-36-40.pth,0,{},4,1.6916403770446777,0.7353410720825195
disneylandreviews,FM,0,./data_sets/disneylandreviews/checkpoint_FM/config_0/fold_0/FM-May-18-2025_20-37-48.pth,0,"{'task': 'rating', 'epoch': 10, 'lr': 0.05}",0,1.5900731086730957,0.32009053230285645
disneylandreviews,FM,1,./data_sets/disneylandreviews/checkpoint_FM/config_0/fold_1/FM-May-18-2025_20-37-53.pth,0,"{'task': 'rating', 'epoch': 10, 'lr': 0.05}",1,1.5698912143707275,0.31839632987976074
disneylandreviews,FM,2,./data_sets/disneylandreviews/checkpoint_FM/config_0/fold_2/FM-May-18-2025_20-37-59.pth,0,"{'task': 'rating', 'epoch': 10, 'lr': 0.05}",2,1.7295434474945068,0.3748784065246582
disneylandreviews,FM,3,./data_sets/disneylandreviews/checkpoint_FM/config_0/fold_3/FM-May-18-2025_20-38-04.pth,0,"{'task': 'rating', 'epoch': 10, 'lr': 0.05}",3,1.593738079071045,0.3030431270599365
disneylandreviews,FM,4,./data_sets/disneylandreviews/checkpoint_FM/config_0/fold_4/FM-May-18-2025_20-38-10.pth,0,"{'task': 'rating', 'epoch': 10, 'lr': 0.05}",4,1.8088102340698242,0.2961885929107666
disneylandreviews,FNN,0,./data_sets/disneylandreviews/checkpoint_FNN/config_0/fold_0/FNN-May-18-2025_20-38-15.pth,0,{},0,1.7323400974273682,0.5850520133972168
disneylandreviews,FNN,1,./data_sets/disneylandreviews/checkpoint_FNN/config_0/fold_1/FNN-May-18-2025_20-38-21.pth,0,{},1,1.5361881256103516,0.606053352355957
disneylandreviews,FNN,2,./data_sets/disneylandreviews/checkpoint_FNN/config_0/fold_2/FNN-May-18-2025_20-38-27.pth,0,{},2,1.6850907802581787,0.6787478923797607
disneylandreviews,FNN,3,./data_sets/disneylandreviews/checkpoint_FNN/config_0/fold_3/FNN-May-18-2025_20-38-33.pth,0,{},3,1.6056923866271973,0.605330228805542
disneylandreviews,FNN,4,./data_sets/disneylandreviews/checkpoint_FNN/config_0/fold_4/FNN-May-18-2025_20-38-39.pth,0,{},4,1.6538243293762207,0.6217048168182373
disneylandreviews,FwFM,0,./data_sets/disneylandreviews/checkpoint_FwFM/config_0/fold_0/FwFM-May-18-2025_20-38-45.pth,0,{},0,1.5457212924957275,0.3249087333679199
disneylandreviews,FwFM,1,./data_sets/disneylandreviews/checkpoint_FwFM/config_0/fold_1/FwFM-May-18-2025_20-38-50.pth,0,{},1,1.5401458740234375,0.3922691345214844
disneylandreviews,FwFM,2,./data_sets/disneylandreviews/checkpoint_FwFM/config_0/fold_2/FwFM-May-18-2025_20-38-56.pth,0,{},2,1.6052279472351074,0.33013415336608887
disneylandreviews,FwFM,3,./data_sets/disneylandreviews/checkpoint_FwFM/config_0/fold_3/FwFM-May-18-2025_20-39-02.pth,0,{},3,1.5634143352508545,0.31928062438964844
disneylandreviews,FwFM,4,./data_sets/disneylandreviews/checkpoint_FwFM/config_0/fold_4/FwFM-May-18-2025_20-39-07.pth,0,{},4,1.5544140338897705,0.30837535858154297
disneylandreviews,LR,0,./data_sets/disneylandreviews/checkpoint_LR/config_0/fold_0/LR-May-18-2025_20-32-46.pth,0,{},0,2.2310211658477783,0.3499724864959717
disneylandreviews,LR,1,./data_sets/disneylandreviews/checkpoint_LR/config_0/fold_1/LR-May-18-2025_20-32-52.pth,0,{},1,1.5982356071472168,0.2775890827178955
disneylandreviews,LR,2,./data_sets/disneylandreviews/checkpoint_LR/config_0/fold_2/LR-May-18-2025_20-32-58.pth,0,{},2,1.7154555320739746,0.2895512580871582
disneylandreviews,LR,3,./data_sets/disneylandreviews/checkpoint_LR/config_0/fold_3/LR-May-18-2025_20-33-03.pth,0,{},3,1.6637678146362305,0.39569711685180664
disneylandreviews,LR,4,./data_sets/disneylandreviews/checkpoint_LR/config_0/fold_4/LR-May-18-2025_20-33-09.pth,0,{},4,1.7090685367584229,0.27442479133605957
disneylandreviews,NFM,0,./data_sets/disneylandreviews/checkpoint_NFM/config_0/fold_0/NFM-May-18-2025_20-33-15.pth,0,"{'n_factors': 15, 'n_epochs': 10}",0,1.583385944366455,0.6163408756256104
disneylandreviews,NFM,1,./data_sets/disneylandreviews/checkpoint_NFM/config_0/fold_1/NFM-May-18-2025_20-33-20.pth,0,"{'n_factors': 15, 'n_epochs': 10}",1,1.630756139755249,0.5973539352416992
disneylandreviews,NFM,2,./data_sets/disneylandreviews/checkpoint_NFM/config_0/fold_2/NFM-May-18-2025_20-33-26.pth,0,"{'n_factors': 15, 'n_epochs': 10}",2,1.5560197830200195,0.6000955104827881
disneylandreviews,NFM,3,./data_sets/disneylandreviews/checkpoint_NFM/config_0/fold_3/NFM-May-18-2025_20-33-32.pth,0,"{'n_factors': 15, 'n_epochs': 10}",3,1.6638357639312744,0.6796219348907471
disneylandreviews,NFM,4,./data_sets/disneylandreviews/checkpoint_NFM/config_0/fold_4/NFM-May-18-2025_20-33-38.pth,0,"{'n_factors': 15, 'n_epochs': 10}",4,1.7697257995605469,0.6838743686676025
disneylandreviews,PNN,0,./data_sets/disneylandreviews/checkpoint_PNN/config_0/fold_0/PNN-May-18-2025_20-39-13.pth,0,{},0,1.5778872966766357,0.5279402732849121
disneylandreviews,PNN,1,./data_sets/disneylandreviews/checkpoint_PNN/config_0/fold_1/PNN-May-18-2025_20-39-18.pth,0,{},1,1.5334739685058594,0.5389363765716553
